INFO 2022-05-19 06:06:45,638 autoreload 12849 140650313537344 Watching for file changes with StatReloader
DEBUG 2022-05-19 06:06:45,639 autoreload 12849 140650313537344 Waiting for apps ready_event.
DEBUG 2022-05-19 06:06:45,717 autoreload 12849 140650313537344 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-05-19 06:06:45,759 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/supershop/product/templates with glob **/*.
DEBUG 2022-05-19 06:06:45,759 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/CRUD/venv/lib/python3.8/site-packages/django_filters/templates with glob **/*.
DEBUG 2022-05-19 06:06:45,759 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/CRUD/venv/lib/python3.8/site-packages/django_extensions/templates with glob **/*.
DEBUG 2022-05-19 06:06:45,760 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/supershop/userlogin/templates with glob **/*.
DEBUG 2022-05-19 06:06:45,760 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/supershop/cart/templates with glob **/*.
DEBUG 2022-05-19 06:06:45,760 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/CRUD/venv/lib/python3.8/site-packages/rest_framework/templates with glob **/*.
DEBUG 2022-05-19 06:06:45,761 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/supershop/locale with glob **/*.mo.
DEBUG 2022-05-19 06:06:45,762 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/CRUD/venv/lib/python3.8/site-packages/widget_tweaks/locale with glob **/*.mo.
DEBUG 2022-05-19 06:06:45,762 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/CRUD/venv/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2022-05-19 06:06:45,762 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/CRUD/venv/lib/python3.8/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2022-05-19 06:06:45,762 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/supershop/userlogin/locale with glob **/*.mo.
DEBUG 2022-05-19 06:06:45,763 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/supershop/cart/locale with glob **/*.mo.
DEBUG 2022-05-19 06:06:45,763 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/supershop/product/locale with glob **/*.mo.
DEBUG 2022-05-19 06:06:45,763 autoreload 12849 140650313537344 Watching dir /home/jinal/PycharmProjects/CRUD/venv/lib/python3.8/site-packages/django_filters/locale with glob **/*.mo.
